signature,implicitMember,maxTargetSdk,overrideSourcePosition,publicAlternatives,trackingBug
|Landroid/net/ConnectivityManager$PacketKeepalive;->stop()V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager$PacketKeepaliveCallback;-><init>()V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager$PacketKeepaliveCallback;->onError(I)V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager$PacketKeepaliveCallback;->onStarted()V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager$PacketKeepaliveCallback;->onStopped()V|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->ACTION_TETHER_STATE_CHANGED:Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->EXTRA_ACTIVE_TETHER:Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->EXTRA_AVAILABLE_TETHER:Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->EXTRA_ERRORED_TETHER:Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->INET_CONDITION_ACTION:Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->TYPE_MOBILE_CBS:I|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->TYPE_MOBILE_EMERGENCY:I|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->TYPE_MOBILE_FOTA:I|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->TYPE_MOBILE_IA:I|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->TYPE_MOBILE_IMS:I|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->from(Landroid/content/Context;)Landroid/net/ConnectivityManager;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getActiveLinkProperties()Landroid/net/LinkProperties;|,||,|28|,||,||,|109783091|
|Landroid/net/ConnectivityManager;->getActiveNetworkInfoForUid(I)Landroid/net/NetworkInfo;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->getDefaultNetworkCapabilitiesForUser(I)[Landroid/net/NetworkCapabilities;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getInstance()Landroid/net/ConnectivityManager;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getLastTetherError(Ljava/lang/String;)I|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->getLinkProperties(I)Landroid/net/LinkProperties;|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->getMobileDataEnabled()Z|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getNetworkForType(I)Landroid/net/Network;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getNetworkTypeName(I)Ljava/lang/String;|,||,|30|,||,||,|170729553|
|Landroid/net/ConnectivityManager;->getTetherableBluetoothRegexs()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getTetherableIfaces()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getTetherableUsbRegexs()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getTetherableWifiRegexs()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getTetheredIfaces()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->getTetheringErroredIfaces()[Ljava/lang/String;|,||,||,||,||,||
|Landroid/net/ConnectivityManager;->isNetworkSupported(I)Z|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->isNetworkTypeMobile(I)Z|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->mService:Landroid/net/IConnectivityManager;|,||,|28|,||,||,|130143562|
|Landroid/net/ConnectivityManager;->networkCapabilitiesForFeature(ILjava/lang/String;)Landroid/net/NetworkCapabilities;|,||,|30|,||,||,|170729553|
